index,artist,title,mood
ML578,Peaches,Downtown,Happy
ML579,The Polyphonic Spree,Middle of the Day,Sad
ML580,London After Midnight,Sacrifice,Sad
ML581,Stevie Wonder,A Place In The Sun,Chill
ML582,The Cat Empire,The Wine Song,Happy
ML583,Donavon Frankenreiter,Butterfly,Chill
ML584,Tom Petty And The Heartbreakers,The Dark Of the Sun,Chill
ML585,Ozzy Osbourne,War Pigs,Angry
ML586,Beach House,Childhood,Chill
ML587,Switchfoot,The Shadow Proves The Sunshine,Chill
ML588,Ben Folds Five,Cigarette,Sad
ML589,The Sex Pistols,I Wanna Be Me,Angry
ML590,Chubby Checker,The Twist,Happy
ML591,Incognito,Everybody Loves The Sunshine,Chill
ML592,Peaches,Shake Yer Dix,Happy
ML593,The Chameleons,Soul in Isolation,Sad
ML594,Stars,What the Snowman Learned About Love,Chill
ML595,The Anti-Nowhere League,So What,Angry
ML596,Peaches,Suck and Let Go,Happy
ML597,Velvet Revolver,Illegal i Song,Angry
ML598,Jibbs,Chain Hang Low,Happy
ML599,Britney Spears,I Run Away,Sad
ML600,Grand Archives,Swan Matches,Chill
ML601,BjÃ¶rk,Pluto,Angry
ML602,Brain Drill,Revelation,Angry
ML603,Anthony Hamilton,I Tried,Chill
ML604,Grace Jones,Pull Up To The Bumper,Happy
ML605,Gwen Stefani,Wind It Up,Happy
ML606,Tyler Hilton,Insomnia (Revised Album Version),Chill
ML607,Reel Big Fish,Ban The Tube Top,Happy
ML608,Teitur,Rough Around The Edges,Chill
ML609,Gorillaz,Demon Days,Chill
ML610,Enya,China Roses,Chill
ML611,Pantera,Cemetery Gates,Angry
ML612,Riverside,Loose Heart,Sad
ML613,Jazzanova,Look What You're Doin' To Me ,Chill
ML614,Supergrass,Brecon Beacons,Happy
ML615,Opeth,Bleak,Sad
ML616,Opeth,White Cluster,Sad
ML617,Manic Street Preachers,Of Walking Abortion,Angry
ML618,Shop Boyz,Flexin',Happy
ML619,Guns N' Roses,Sweet Child O' Mine,Happy
ML620,Black Flag,Gimmie Gimmie Gimmie,Angry
ML621,Timo Maas,Pictures,Happy
ML622,Nine Inch Nails,Zero-Sum,Sad
ML623,Astrud Gilberto,The Girl From Ipanema,Chill
ML624,Franz Ferdinand,What You Waiting For?,Happy
ML625,Ke$ha,Kiss N Tell,Happy
ML626,Fishbone,Lyin' Ass Bitch,Happy
ML627,Touch and Go,Would You...?,Happy
ML628,Britney Spears,Anticipating,Happy
ML629,Rage Against the Machine,Killing In The Name,Angry
ML630,Cult of Luna,Waiting For You,Sad
ML631,Tyrone Wells,Sea Breeze,Chill
ML632,Megadeth,Captive Honour,Angry
ML633,Thievery Corporation,Heaven's Gonna Burn Your Eyes,Chill
ML634,The-Dream,Right Side Of My Brain,Sad
ML635,Tindersticks,Walking,Sad
ML636,The Dillinger Escape Plan,Milk Lizard,Angry
ML637,Howlin' Wolf,Smokestack Lightning,Angry
ML638,Vanessa Hudgens,Sneakernight,Happy
ML639,The Rolling Stones,Tie You Up (The Pain of Love),Angry
ML640,Tim Buckley,The Earth is Broken,Sad
ML641,The Hoosiers,Cops and Robbers,Happy
ML642,Jane Monheit,Detour Ahead,Chill
ML643,Erykah Badu,Window Seat,Chill
ML644,Mobb Deep,Survival of the Fittest,Angry
ML645,RÃ¶yksopp,Dead to the World,Chill
ML646,Limp Bizkit,Getcha Groove On,Angry
ML647,Ashley Tisdale,He Said She Said,Happy
ML648,Dolly Parton,9 To 5,Happy
ML649,Ministry,Just One Fix,Angry
ML650,Shirley Horn,A Time For Love,Chill
ML651,Rihanna,Breakin' Dishes,Angry
ML652,Toy-Box,The Sailor Song,Happy
ML653,Enya,Wild Child,Chill
ML654,Megadeth,Blood of Heroes,Angry
ML655,Eminem,Mosh,Angry
ML656,Kate Nash,Pumpkin Soup,Happy
ML657,Nine Inch Nails,My Violent Heart,Angry
ML658,Spahn Ranch,The Conversation,Sad
ML659,Common,Faithful,Chill
ML660,D'Angelo,Jonz In My Bonz,Chill
ML661,The Coral,She's Got A Reason,Chill
ML662,Pete Philly & Perquisite,Mystery Repeats,Happy
ML663,Andrew Bird,Masterfade,Chill
ML664,Lamb of God,Redneck,Angry
ML665,The Haunted,99,Angry
ML666,Burzum,Dunkelheit,Sad
ML667,A Silver Mt. Zion,Microphones in the Trees,Sad
ML668,Gossip,Eyes Open,Angry
ML669,Emigrate,In My Tears,Sad
ML670,Dead Boys,Sonic Reducer,Angry
ML671,Anthony David,Something About You,Chill
ML672,Lisa Loeb,Wishing Heart,Happy
ML673,Elliott Smith,Bottle Up And Explode!,Chill
ML674,Neurosis,The Tide,Sad
ML675,Fatboy Slim,Wonderful Night,Happy
ML676,Justin Timberlake,Like I Love You,Happy
ML677,Amel Larrieux,Weather,Chill
ML678,Black Kids,Listen To Your Body Tonight,Happy
ML679,Love Is All,Make Out Fall Out Make Up,Sad
ML680,The Byrds,Hickory Wind,Sad
ML681,Megadeth,Elysian Fields,Angry
ML682,Slayer,Praise of Death,Angry
ML683,Snow Patrol,Crazy In Love,Happy
ML684,R. Kelly & Public Announcement,She's Got That Vibe,Happy
ML685,The Beatles,Run for Your Life,Angry
ML686,Cat Stevens,Lilywhite,Chill
ML687,Anthrax,Bring the Noise,Angry
ML688,Britney Spears,Ooh Ooh Baby,Happy
ML689,Slayer,Piece by Piece,Angry
ML690,Village People,In the Navy,Happy
ML691,Deep Dish,Flashdance,Happy
ML692,Britney Spears,Brave New Girl,Happy
ML693,Janis Joplin,Summertime,Sad
ML694,Blue Man Group,Time to Start,Happy
ML695,Amon Amarth,Ride For Vengeance,Angry
ML696,Tindersticks,Piano Song,Sad
ML697,Marilyn Manson,Great Big White World,Sad
ML698,Arcade Fire,Black Mirror,Sad
ML699,The Prodigy,Voodoo People,Angry
ML700,Frida,Baby Don't You Cry No More,Chill
ML701,Kate Nash,Mariella,Happy
ML702,Thrice,Under A Killing Moon,Angry
ML703,Fleet Foxes,Blue Ridge Mountains,Chill
ML704,The Honeydrips,(Lack of) Love Will Tear Us Apart,Chill
ML705,Kristin Hersh,Gazebo Tree,Sad
ML706,Jill Tracy,Haunted By the Thought of You,Sad
ML707,S Club 7,Bring It All Back,Happy
ML708,Kanye West,Coldest Winter,Sad
ML709,The Chemical Brothers,Left Right,Angry
ML710,Antimatter,Ghosts,Sad
ML711,Dixie Chicks,Voice Inside My Head,Sad
ML712,Metallica,"Broken, Beat & Scarred",Angry
ML713,Carbon Based Lifeforms,PhotoSynthesis,Chill
ML714,XTC,This Is Pop?,Angry
ML715,PJ Harvey,The Darker Days Of Me & Him,Sad
ML716,Keren Ann,In Your Back,Chill
ML717,Nine Days,Bitter,Sad
ML718,Art Brut,Modern Art,Happy
ML719,Laura Marling,Shine,Sad
ML720,Smokie,Living Next Door To Alice ,Chill
ML721,Mastodon,Blood and Thunder,Angry
ML722,Rasputina,Watch T.V.,Sad
ML723,Eminem,My Name Is,Happy
ML724,Hanne Hukkelberg,Cast Anchor,Chill
ML725,Dolly Parton,Here You Come Again,Happy
ML726,Pinback,Some Voices,Chill
ML727,2Pac,Me Against the World,Angry
ML728,Chris Botti,The Look Of Love,Chill
ML729,Mortal Love,In the Sun,Sad
ML730,Dead Kennedys,Holiday in Cambodia,Angry
ML731,Acceptance,In Too Far,Chill
ML732,Sun Kil Moon,Neverending Math Equation,Chill
ML733,Nine Inch Nails,I Do Not Want This,Angry
ML734,Daft Punk,Technologic,Happy
ML735,Martina McBride,Valentine,Chill
ML736,The Airborne Toxic Event,Something New,Sad
ML737,Sleeper,Lie Detector,Happy
ML738,Enya,Deora Ar Mo ChroÃ­,Chill
ML739,Massive Attack,Daydreaming,Chill
ML740,Silverchair,Lie To Me,Angry
ML741,No Doubt,Spiderwebs,Happy
ML742,Guns N Roses,Mr. Brownstone,Angry
ML743,The Five Blobs,The Blob,Happy
ML744,Manic Street Preachers,4st 7lb,Angry
ML745,Saybia,Guardian Angel,Sad
ML746,Mastodon,Crystal Skull,Angry
ML747,Mudvayne,IMN,Angry
ML748,Koop,Waltz for Koop,Chill
ML749,Enigma,Total Eclipse of the Moon,Chill
ML750,A Tribe Called Quest,1nce Again,Chill
ML751,Stevie Wonder,Ribbon In The Sky,Chill
ML752,Sick Puppies,You're Going Down,Angry
ML753,The Fratellis,Vince The Loveable Stoner,Happy
ML754,Flowing Tears,Lovesong For A Dead Child,Sad
ML755,Death From Above 1979,Pull Out,Happy
ML756,Jimmy Eat World,Claire,Chill
ML757,Buster Poindexter,Hot Hot Hot,Happy
ML758,Arcana,Like Statues In The Garden Of Dreaming,Sad
ML759,Keb' Mo',Just Like You,Chill
ML760,Susanna and the Magical Orchestra,Time,Chill
ML761,Joan Baez,The Night They Drove Old Dixie Down,Sad
ML762,Melanie C,Carolyna,Sad
ML763,Madredeus,O Sonho,Chill
ML764,The Black Dahlia Murder,Miasma,Angry
ML765,Sting,Children's CruSade,Sad
ML766,James Taylor,That Lonesome Road,Sad
ML767,50 Cent,U Not Like Me,Angry
ML768,The Kingsmen,Louie Louie,Happy
ML769,Cypress Hill,Stoned Is the Way of the Walk,Angry
ML770,India.Arie,God Is Real,Chill
ML771,Ice Cube,The Nigga Ya Love to Hate,Angry
ML772,Frankie Valli,Grease,Happy
ML773,Huey Lewis & The News,I Want a New Drug,Happy
ML774,Grant Lee Buffalo,Rock of Ages,Sad
ML775,Kelis,Caught Out There,Angry
ML776,Scissor Sisters,She's My Man,Happy
ML777,The Innocence Mission,Lake Shore Drive,Chill
ML778,Matt Wertz,Like The Last Time,Chill
ML779,Ella Fitzgerald,Solitude ,Chill
ML780,Ben Kweller,Thirteen,Sad
ML781,Ozzy Osbourne,Running Out of Time,Angry
ML782,Tindersticks,Travelling Light,Sad
ML783,Blonde Redhead,Girl Boy,Chill
ML784,The Clash,London's Burning,Angry
ML785,Mark Kozelek,Bad Boy Boogie,Sad
ML786,Norah Jones,The Long Day Is Over,Chill
ML787,The Rubettes,Sugar Baby Love,Happy
ML788,Vienna Teng,Green Island Serenade,Chill
ML789,Keren Ann,Ailleurs,Chill
ML790,Gotan Project,Queremos paz,Chill
ML791,The Organ,There Is Nothing I Can Do,Sad
ML792,Cocteau Twins,Wolf in the Breast,Chill
ML793,A Perfect Circle,People Are People,Chill
ML794,Behemoth,At the Left Hand Ov God,Angry
ML795,Ke$ha,Blah Blah Blah ,Happy
ML796,Beastie Boys,The Sounds Of Science,Happy
ML797,Essie Jain,Glory,Chill
ML798,BeyoncÃ©,Baby Boy,Happy
ML799,Karen Matheson,Mi Le M' Uilinn,Chill
ML800,Fountains Of Wayne,Stacy's Mom,Happy
ML801,CÃ©line Dion,Declaration Of Love,Happy
ML802,Public Enemy,Welcome to the Terrordome,Angry
ML803,Ice Cube,No Vaseline,Angry
ML804,Lily Holbrook,Welcome to the Slaughterhouse,Sad
ML805,Silverchair,Miss You Love,Sad
ML806,Megadeth,Vortex,Angry
ML807,Ours,Sometimes,Sad
ML808,Relient K,The Pirates Who Don't Do Anything,Happy
ML809,Daughtry,Call Your Name,Sad
ML810,John Mayer,New Deep,Chill
ML811,Moonspell,Awake,Sad
ML812,Local Natives,Who Knows Who Cares,Sad
ML813,Metallica,Damage Inc.,Angry
ML814,Switchfoot,Let Your Love Be Strong,Sad
ML815,Depeche Mode,Sister Of Night,Sad
ML816,Machine Head,Take my Scars,Angry
ML817,Jazzanova,Look What You're Doin' To Me,Chill
ML818,Wir sind Helden,Darf Ich Das Behalten,Sad
ML819,At The Drive-In,Alpha Centauri,Angry
ML820,Korn,Thoughtless,Angry
ML821,Dave Matthews Band,Satellite,Chill
ML822,Celtic Woman,Over The Rainbow,Chill
ML823,Marty Robbins,El Paso,Chill
ML824,Rihanna,Stupid In Love,Sad
ML825,Amber Pacific,If I Fall,Sad
ML826,Sally Shapiro,Time To Let Go,Sad
ML827,Slayer,Supremist,Angry
ML828,Machine Head,"The Blood, the Sweat, the Tears",Angry
ML829,Ida Maria,Louie,Happy
ML830,Shout Out Louds,Never Ever,Happy
ML831,The Rocket Summer,Hold It Up,Happy
ML832,Sting,Little Wing,Chill
ML833,The Coral,Shadows Fall,Happy
ML834,Amos Lee,"Keep It Loose, Keep It Tight",Chill
ML835,Paradise Lost,Say Just Words,Sad
ML836,System of a Down,Soldier Side,Angry
ML837,India.Arie,These Eyes,Chill
ML838,The Mountain Goats,So Desperate,Sad
ML839,Ozma,Continental Drift (Flight Of The Bootymademoiselle),Sad
ML840,Edison Lighthouse,Love Grows (Where My Rosemary Goes),Happy
ML841,Rage Against the Machine,Voice of the Voiceless,Angry
ML842,Anthrax,Indians,Angry
ML843,Thousand Foot Krutch,Favorite Disease,Sad
ML844,Everything But The Girl,Meet Me in the Morning,Chill
ML845,Marilyn Manson,Little Horn,Angry
ML846,Razorlight,Get It And Go,Happy
ML847,Shakira,Rabiosa,Happy
ML848,Goldfish,Times May Change You,Chill
ML849,Kraftwerk,Autobahn,Chill
ML850,Mastodon,Siberian Divide,Angry
ML851,Lene Marlin,Unforgivable Sinner,Sad
ML852,Wolfmother,Vagabond,Happy
ML853,Velvet Underground,White Light/White Heat,Angry
ML854,Thea Gilmore,Whistle And Steam,Chill
ML855,DIR EN GREY,CONCEIVED SORROW,Sad
ML856,John Lennon,I Found Out,Angry
ML857,The Dresden Dolls,Girl Anachronism,Angry
ML858,Scars of life,Bullet with your name,Angry
ML859,Slayer,Altar of Sacrifice,Angry
ML860,Nine Inch Nails,Gave Up,Angry
ML861,AC/DC,Evil Walks,Angry
ML862,Stevie Wonder,Love Light In Flight,Happy
ML863,Rage Against the Machine,Revolver,Angry
ML864,Ron Sexsmith,Snow Angel,Chill
ML865,Slayer,Fight Till Death,Angry
ML866,Soft Cell,Youth,Sad
ML867,The Pierces,Boy in a Rock and Roll Band,Happy
ML868,Bruce Springsteen,War,Angry
ML869,Bloodhound Gang,Kiss Me Where It Smells Funny,Happy
ML870,The Intruders,Together,Chill
ML871,Cut Chemist,Spoon,Chill
ML872,Girls Aloud,Jump,Happy
ML873,Diana Krall,Little Girl Blue,Chill
ML874,Jefferson Starship,Miracles,Chill
ML875,Mad Caddies,Rockupation,Happy
ML876,Mariah Carey,Melt Away,Chill
ML877,Wu-Tang Clan,Da Mystery of Chessboxin',Angry
ML878,Papa Roach,Last Resort,Angry
ML879,Guillemots,Falling Out Of Reach,Chill
ML880,Justin Timberlake,LoveStoned/I Think She Knows Interlude,Happy
ML881,Psapp,Needle and Thread,Chill
ML882,Cradle of Filth,Lovesick for Mina,Angry
ML883,Lily Allen,Friday Night,Happy
ML884,Sandi Thom,What If I'm Right,Happy
ML885,Sneaker Pimps,How Do,Chill
ML886,Jimmy Eat World,Pain,Angry
ML887,Ice Cube,Wicked,Angry
ML888,Delta Goodrem,Fragile,Sad
ML889,Captain Hollywood Project,More and More,Happy
ML890,From First To Last,The Latest Plague,Angry
ML891,Primordial,Gods To The Godless,Sad
ML892,Rage Against the Machine,Mic Check,Angry
ML893,Flyleaf,Red Sam,Angry
ML894,Rage Against The Machine,Killing in the Name,Angry
ML895,N-Trance,Set You Free,Happy
ML896,Mazzy Star,Before I Sleep,Chill
ML897,Man Man,Feathers,Sad
ML898,The Mamas & The Papas,Words Of Love,Chill
ML899,Redman,Blow Your Mind,Angry
ML900,Scott Walker,If You Go Away,Sad
ML901,Anberlin,Hello Alone,Angry
ML902,U2,A Man And A Woman,Happy
ML903,Great Big Sea,Captain Wedderburn,Chill
ML904,The Blues Brothers,Rubber Biscuit,Happy
ML905,The Pipettes,Tell Me What You Want,Happy
ML906,The Rolling Stones,Citadel,Angry
ML907,Ween,Monique the Freak,Happy
ML908,Adverts,Gary Gilmore's Eyes,Angry
ML909,Frank Sinatra,Nancy (With The Laughing Face),Chill
ML910,Bebel Gilberto,So Nice (Summer Samba),Chill
ML911,New London Fire,Nadine,Sad
ML912,Annie,Anniemal,Happy
ML913,Animal Collective,Loch Raven,Chill
ML914,Bright Eyes,Classic Cars,Chill
ML915,Lizz Wright,Hey Mann,Chill
ML916,Fiona Apple,Limp,Angry
ML917,The Jackson 5,ABC,Happy
ML918,Todd Rundgren,One More Day (No Word),Chill
ML919,Rage Against the Machine,Wind Below,Angry
ML920,Al Green,Let's Get Married,Chill
ML921,Jimmy Durante,I'M The Guy Who Found The Lost Chord,Happy
ML922,Yael NaÃ¯m,Too Long,Chill
ML923,Chairlift,Ceiling Wax,Chill
ML924,India.Arie,Nature,Chill
ML925,James Blunt,High (live in Ireland),Chill
ML926,Lucinda Williams,Broken Butterflies,Sad
ML927,Skip James,Hard Time Killin' Floor Blues,Sad
ML928,My Dying Bride,My Wine in Silence,Sad
ML929,Acid Bath,Toubabo Koomi,Angry
ML930,Infernal,I Won't Be Crying,Happy
ML931,Camera Obscura,Your Picture,Sad
ML932,Florence + The Machine,Blinding,Sad
ML933,Aberfeldy,Love Is an Arrow,Sad
ML934,Antony and the Johnsons,The Lake,Sad
ML935,Estatic Fear,Chapter I,Sad
ML936,Joni Mitchell,The Last Time I Saw Richard,Sad
ML937,The Presets,This Boy's In Love,Happy
ML938,Gary Numan,Rip,Sad
ML939,Nevermore,Enemies Of Reality,Angry
ML940,Cake,Pretty Pink Ribbon,Happy
ML941,Chevelle,Don't Fake This,Angry
ML942,Lamb of God,Bloodletting,Angry
ML943,Megadeth,Good Mourning/Black Friday,Angry
ML944,Less Than Jake,History Of A Boring Town,Happy
ML945,Sebadoh,Soul and Fire,Sad
ML946,Opeth,Moonlapse Vertigo,Sad
ML947,Linkin Park,Runaway,Angry
ML948,Nile,Sacrifice Unto Sebek,Angry
ML949,of Montreal,The Party's Crashing Us,Happy
ML950,Jane Monheit,Over The Rainbow,Chill
ML951,Donald Fagen,The Great Pagoda Of Funn,Chill
ML952,Jens Lekman,Friday Night at the Drive-In Bingo,Happy
ML953,Fannypack,Not This,Chill
ML954,MÃ½a,Now or Never,Happy
ML955,Atlantic Starr,If Your Heart Isn't In It,Chill
ML956,Cassandra Wilson,Closer To You,Chill
ML957,Azam Ali,In Other Worlds,Sad
ML958,Misfits,Halloween,Angry
ML959,Clannad,A Bridge (That Carries Us Over),Chill
ML960,Squarepusher,A Real Woman,Happy
ML961,Mr. Hyde,Spill Your Blood,Angry
ML962,M83,Carresses,Chill
ML963,Arctic Monkeys,Fake Tales of San Francisco,Happy
ML964,Less Than Jake,Just Like Frank,Happy
ML965,Megadeth,Sin,Angry
ML966,L'Arc~en~Ciel,ALONE EN LA VIDA,Sad
ML967,The Velvet Underground,Heroin,Sad
ML968,Relient K,Must Have Done Something Right,Happy
ML969,Primordial,The Coffin Ships,Sad
ML970,Air,Sing Sang Sung,Chill
ML971,Moya Brennan,River,Chill
ML972,Kane,Where Do I Go Now,Sad
ML973,The Unicorns,Sea Ghost,Happy
ML974,Corinne Bailey Rae,Butterfly,Chill
ML975,Corinne Bailey Rae,Another Rainy Day,Chill
ML976,Spice Girls,Love Thing,Happy
ML977,Nina Simone,My Man's Gone Now,Sad
ML978,Rammstein,Benzin,Angry
ML979,Maggie Reilly,Reunion,Chill
ML980,Nas,One Mic,Angry
ML981,RÃ³isÃ­n Murphy,Primitive,Happy
ML982,Franz Ferdinand,Michael,Happy
ML983,Chubby Checker,Limbo Rock,Happy
ML984,Undertones,Get Over You,Angry
ML985,ERA,Cathar Rhythm,Chill
ML986,Limp Bizkit,The Propaganda,Angry
ML987,Yoko Ono,Kiss Kiss Kiss,Happy
ML988,Fractured,One More Time,Sad
ML989,The Cure,Out of Mind,Angry
ML990,BrokeNCYDE,Sex Toyz,Happy
ML991,Kaskade,Your Love Is Black,Sad
ML992,The Helio Sequence,Back to This,Chill
ML993,Michael Jackson,Bad,Happy
ML994,Pescado Rabioso,Dulce 3 Nocturno,Chill
ML995,Lifehouse,The Beginning,Chill
ML996,The Chameleons,Monkeyland,Sad
ML997,Black Flag,Nervous Breakdown,Angry
ML998,Bauhaus,Slice Of Life,Sad
ML999,Johnny Cash,Sunday Morning Coming Down,Sad
ML1000,Bowling For Soup,Almost,Happy
ML1001,Alien Ant Farm,Glow,Happy
ML1002,Lou Reed,The Kids,Sad
ML1003,Halou,Political,Chill
ML1004,Evan Rachel Wood,Hold Me Tight,Happy
ML1005,Great Lake Swimmers,I Will Never See the Sun,Chill
ML1006,Gorillaz,Superfast Jellyfish,Happy
ML1007,Nine Inch Nails,Heresy,Angry
ML1008,Enigma,The Cross of Changes,Chill
ML1009,At The Drive In,Quarantined,Angry
ML1010,The Unicorns,Jellybones,Happy
ML1011,Guns N' Roses,This I Love,Sad
ML1012,Venetian Snares,Dad,Sad
ML1013,Bright Eyes,"Oh, You Are the Roots That Sleep Beneath My Feet and Hold the Earth in Place",Chill
ML1014,Devendra Banhart,Noah,Chill
ML1015,Nevermore,All Play Dead,Angry
ML1016,Big Star,Holocaust,Sad
ML1017,Rihanna,Let Me,Happy
ML1018,Ozzy Osbourne,No Easy Way Out,Angry
ML1019,Richard Ashcroft,On A Beach,Chill
ML1020,"""Weird Al"" Yankovic",Eat It,Happy
ML1021,Suicidal Tendencies,Institutionalized,Angry
ML1022,Acoustic Alchemy,Say Yeah,Chill
ML1023,Beck,Rental Car,Happy
ML1024,Cradle of Filth,Tonight in Flames,Angry
ML1025,Manic Street Preachers,I'm Not Working,Sad
ML1026,Bonnie Somerville,Winding Road,Chill
ML1027,DIR EN GREY,VINUSHKA,Angry
ML1028,Gary Numan,In A Dark Place,Sad
ML1029,Mariee Sioux,Wild Eyes,Chill
ML1030,K's Choice,Another Year,Sad
ML1031,Maximilian Hecker,Kate Moss,Sad
ML1032,White Town,Your Woman,Happy
ML1033,Dntel,(This Is) The Dream of Evan and Chan,Chill
ML1034,Manchester Orchestra,Shake It Out,Angry
ML1035,Jay-Z,Success,Angry
ML1036,Wilco,What Light,Chill
ML1037,Squeeze,Hourglass,Happy
ML1038,Nine Inch Nails,March Of The Pigs,Angry
ML1039,Refused,The Deadly Rhythm,Angry
ML1040,Slayer,Can't Stand You,Angry
ML1041,Sing It Loud,No One Can Touch Us (Featuring Alex Gaskarth),Happy
ML1042,Bauhaus,The Three Shadows Part 2,Sad
ML1043,Blink-182,Man Overboard,Happy
ML1044,Alan Jackson,Here In The Real World,Sad
ML1045,George Michael,Freeek! '04,Happy
ML1046,Jennifer Lopez,I'm Real,Happy
ML1047,Venom,Black Metal,Angry
ML1048,Shpongle,Once Upon the Sea of Blissful Awareness,Chill
ML1049,Elbow,little beast,Sad
ML1050,Soulfly,Back to the Primitive,Angry
ML1051,AFI,Silver And Cold,Sad
ML1052,Emma Shapplin,Favola Breve,Chill
ML1053,Ben Folds,Rockin' The Suburbs,Happy
ML1054,Rage Against the Machine,Settle for Nothing,Angry
ML1055,Megadeth,The Killing Road,Angry
ML1056,The Helio Sequence,Back To This,Chill
ML1057,The Fall,War,Angry
ML1058,The Beatles,Twist and Shout,Happy
ML1059,Siobhan Donaghy,So You Say,Sad
ML1060,The Tokens,The Lion Sleeps Tonight,Happy
ML1061,The Beatles,Octopus's Garden,Happy
ML1062,Adele,Melt My Heart To Stone,Chill
ML1063,Marvin Gaye,What's Happening Brother,Chill
ML1064,Martina McBride,Wrong Again,Sad
ML1065,Slayer,Beauty Through Order,Angry
ML1066,Mortiis,Everyone Leaves,Sad
ML1067,Neko Case,The Tigers Have Spoken,Sad
ML1068,Monkey,Pigsy In Space,Chill
ML1069,L7,Shitlist,Angry
ML1070,Bruce Springsteen,Hungry Heart,Happy
ML1071,Burzum,En Ring Til Aa Herske,Sad
ML1072,Deathstars,Synthetic generation,Sad
ML1073,Nerf Herder,Jenna Bush Army,Happy
ML1074,Falco,Vienna Calling,Happy
ML1075,Atmosphere,The Keys to Life vs. 15 Minutes of Fame,Angry
ML1076,Germs,Forming,Angry
ML1077,The Ditty Bops,Waking Up In the City,Happy
ML1078,Stephen Lynch,Gay,Happy
ML1079,Katatonia,Criminals,Sad
ML1080,Bruce Springsteen,State Trooper,Sad
ML1081,Holly Brook,Saturdays,Chill
ML1082,Bright Eyes,A Perfect Sonnet,Sad
ML1083,Inner Circle,Sweat ,Happy
ML1084,Lucie Silvas,Nothing Else Matters,Sad
ML1085,Republika,OdchodzÄ…c,Sad
ML1086,Ella Fitzgerald,Remember,Chill
ML1087,The Stooges,Search and Destroy,Angry
ML1088,Boards of Canada,Aquarius,Chill
ML1089,Metallica,Phantom Lord,Angry
ML1090,Doug Stone,I'd Be Better Off (In A Pine Box),Sad
ML1091,Flobots,Handlebars,Angry
ML1092,Hatebreed,I Will Be Heard,Angry
ML1093,Samuel E. Wright,Under The Sea,Happy
ML1094,Susanna and the Magical Orchestra,Jolene,Chill
ML1095,Lard,The Power of Lard,Angry
ML1096,iLiKETRAiNS,Terra Nova,Sad
ML1097,They Might Be Giants,Birdhouse In Your Soul,Happy
ML1098,Wu-Tang Clan,Wu-Tang Clan Ain't Nuthing Ta F' Wit,Angry
ML1099,Friendly Fires,Lovesick,Happy
ML1100,Burzum,Jesus' Tod,Angry
ML1101,Rage Against the Machine,Know Your Enemy,Angry
ML1102,Tunng,Man in the box,Chill
ML1103,Oceansize,Savant,Sad
ML1104,Machine Head,American High,Angry
ML1105,Otep,T.R.I.C.,Angry
ML1106,Pat Monahan,Her Eyes,Happy
ML1107,Hayley Westenra,Let Me Lie,Chill
ML1108,Wesley Willis,I Wupped Batman's Ass,Happy
ML1109,Marilyn Manson,Burning Flag,Angry
ML1110,Kings Of Convenience,Know-How,Chill
ML1111,Enya,OÃ­che ChiÃºin (Silent Night),Chill
ML1112,Bruce Springsteen,Pay Me My Money Down,Happy
ML1113,Jessica Simpson,Sweetest Sin,Happy
ML1114,The Dillinger Escape Plan,We Are the Storm,Angry
ML1115,Bikini Kill,Suck My Left One,Angry
ML1116,Lunatica,Out!,Angry
ML1117,Japan,Obscure Alternatives,Sad
ML1118,Sophie Milman,Back Home To Me,Chill
ML1119,Selig,Ohne dich,Sad
ML1120,Eighteen Visions,The Sweetest Memory,Sad
ML1121,Queen,Mother Love,Sad
ML1122,Seether,Fake It,Angry
ML1123,Tenacious D,Car Chase City,Happy
ML1124,Thievery Corporation,Amerimacka ,Chill
ML1125,Remi Nicole,Dates From Hell,Happy
ML1126,Richard Thompson,Sibella,Sad
ML1127,At The Drive-In,Proxima Centauri,Angry
ML1128,Nick Cave and the Bad Seeds,Where Do We Go Now But Nowhere,Sad
ML1129,Sham 69,If The Kids Are United,Angry
ML1130,Lit,Miserable,Sad
ML1131,Azam Ali,From Heaven to Dust,Chill
ML1132,Arab Strap,New Birds,Sad
ML1133,Survivor,Eye of the Tiger,Angry
ML1134,Nirvana,Tourette's,Angry
ML1135,Rage Against the Machine,Bombtrack,Angry
ML1136,Jack Johnson,Fortunate Fool,Chill
ML1137,Nick Cave and the Bad Seeds,Far From Me,Sad
ML1138,Kim Carnes,Bette Davis Eyes (Acoustic Version),Chill
ML1139,The Innocence Mission,Small Planes,Sad
ML1140,Frank Sinatra,Don't Worry 'Bout Me,Chill
ML1141,The Pussycat Dolls,Buttons,Happy
ML1142,Jay Brannan,Half-Boyfriend,Sad
ML1143,The Dillinger Escape Plan,The Mullet Burden,Angry
ML1144,Atari Teenage Riot,Revolution Action,Angry
ML1145,Jonathan Coulton,Ikea,Happy
ML1146,"Lipps, Inc.",Funkytown,Happy
ML1147,Nick Cave and the Bad Seeds,Hallelujah,Sad
ML1148,Nevermore,I Am The Dog,Angry
ML1149,The Eames Era,Could Be Anything,Happy
ML1150,Baccara,"Yes Sir, I Can Boogie",Happy
ML1151,Trading Yesterday,One Day,Chill
ML1152,Judas Priest,Breaking the Law,Angry
ML1153,Godsmack,Straight Out of Line,Angry
ML1154,Stevie Wonder,Ngiculela-Es Una Historia-I Am Singing,Chill
ML1155,Matt Wertz,Lonely Tonight,Chill
